City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
6170031,Tuktoyaktuk,20,CA,1680458311,70,69.4541,-133.0374,-9.4,9.22
3395458,Maragogi,85,BR,1680458312,66,-9.0122,-35.2225,82.85,9.17
2515271,Las Palmas,0,ES,1680458313,78,28.4204,-14.0131,66.99,20.71
467479,Yenotayevka,54,RU,1680458314,47,47.2456,47.0281,53.19,7.14
3421765,Nanortalik,100,GL,1680458315,73,60.1432,-45.2371,32.65,9.1
5855927,Hilo,75,US,1680458316,92,19.7297,-155.09,74.28,5.75
1633419,Padang,43,ID,1680458317,87,-0.9492,100.3543,77.05,3.2
3369157,Cape Town,75,ZA,1680458106,90,-33.9258,18.4232,67.87,13.8
5282297,Bethel,0,US,1680458319,27,41.3712,-73.414,49.89,19.57
5225507,Warwick,40,US,1680458097,30,41.7001,-71.4162,52.09,19.57
3994535,Ocampo,94,MX,1680458322,23,21.65,-101.5,76.12,6.49
1786855,Yatou,52,CN,1680458323,45,37.15,122.3833,50.14,4.52
4035715,Avarua,75,CK,1680458324,78,-21.2078,-159.775,78.85,11.5
2514651,Los Llanos de Aridane,20,ES,1680458325,68,28.6585,-17.9182,67.75,13.8
3883457,Lebu,32,CL,1680458326,73,-37.6167,-73.65,59.09,16.2
1106677,Bambous Virieux,75,MU,1680458327,89,-20.3428,57.7575,79.21,10.36
5546220,Saint George,0,US,1680458095,36,37.1041,-113.5841,62.44,3.44
2028462,Ulaanbaatar,0,MN,1680458330,66,47.9077,106.8832,6.93,4.47
1529484,Kumul,30,CN,1680458332,23,42.8,93.45,38.71,4.07
1651810,Airai,79,TL,1680458333,93,-8.9266,125.4092,59.99,0.36
1814093,Dali,46,CN,1680458334,82,25.7,100.1833,49.08,6.24
2074865,Carnarvon,88,AU,1680458335,77,-24.8667,113.6333,74.41,11.99
87205,Darnah,54,LY,1680458337,24,32.767,22.6367,74.25,22.93
921786,Mitsamiouli,100,KM,1680458338,79,-11.3847,43.2844,81.36,5.37
2122104,Petropavlovsk-Kamchatskiy,0,RU,1680458339,80,53.0452,158.6483,27.19,4.47
6185377,Yellowknife,100,CA,1680458340,72,62.456,-114.3525,5.52,4.61
1734313,Paka,97,MY,1680458341,88,4.6374,103.4368,76.93,2.3
100926,Umluj,0,SA,1680458342,58,25.0213,37.2685,73.45,7.92
1507390,Dikson,100,RU,1680458344,97,73.5069,80.5464,-9.72,10.89
3372707,Ribeira Grande,20,PT,1680458346,55,38.5167,-28.7,61.2,23.02
1794971,Shitanjing,93,CN,1680458347,31,39.2342,106.3439,35.85,4.38
4031574,Provideniya,12,RU,1680458348,94,64.3833,-173.3,-2.07,4.72
5762718,Belle Fourche,68,US,1680458333,32,44.6714,-103.8522,50.05,22.77
1504382,Kargasok,100,RU,1680458350,81,59.0556,80.8572,31.77,12.93
1581349,Ha Giang,44,VN,1680458352,97,22.8333,104.9833,73.71,2.35
7647007,Bariloche,20,AR,1680458354,44,-41.1456,-71.3082,60.55,10.36
2630299,Hofn,76,IS,1680458355,70,64.2539,-15.2082,42.01,7.0
3466704,Castro,73,BR,1680458356,65,-24.7911,-50.0119,74.73,3.89
2071860,Esperance,0,AU,1680458357,82,-33.8667,121.9,62.74,8.88
124291,Mehrān,0,IR,1680458359,41,33.1222,46.1646,59.74,7.31
986717,Kruisfontein,60,ZA,1680458360,47,-34.0033,24.7314,67.89,3.49
2093967,Kimbe,91,PG,1680458361,93,-5.5502,150.1429,75.38,3.44
935215,Saint-Philippe,100,RE,1680458362,81,-21.3585,55.7679,78.39,6.53
935248,Sainte-Suzanne,99,RE,1680458363,69,-20.9061,55.6089,79.02,11.5
5881688,Fort Saint James,23,CA,1680458365,70,54.4333,-124.25,33.28,1.99
5106841,Albany,5,US,1680458366,32,42.6001,-73.9662,43.18,13.0
3461370,Imbituba,0,BR,1680458367,55,-28.24,-48.6703,74.71,10.33
1649150,Bengkulu,87,ID,1680458368,90,-3.8004,102.2655,74.73,4.63
1651591,Amahai,100,ID,1680458369,86,-3.3333,128.9167,77.59,2.08
2022572,Khatanga,100,RU,1680458371,97,71.9667,102.5,21.11,3.22
2142316,Yeppoon,99,AU,1680458372,84,-23.1333,150.7333,65.98,10.0
2027296,Aykhal,100,RU,1680458373,92,66.0,111.5,18.03,26.08
627905,Horki,100,BY,1680458374,97,54.2861,30.9842,35.13,14.45
2138555,Poum,20,NC,1680458375,75,-20.2333,164.0167,78.6,7.27
556268,Ostrovnoy,100,RU,1680458376,74,68.0531,39.5131,21.81,9.42
1791779,Wanning,70,CN,1680458377,90,18.8003,110.3967,76.84,10.42
6096551,Pangnirtung,100,CA,1680458378,45,66.1451,-65.7125,15.8,4.61
3418910,Upernavik,84,GL,1680458380,93,72.7868,-56.1549,-13.9,5.7
1735106,George Town,20,MY,1680458349,89,5.4112,100.3354,80.55,2.3
1006984,East London,0,ZA,1680458382,88,-33.0153,27.9116,74.34,10.36
3083826,Szczecinek,6,PL,1680458383,62,53.7079,16.6994,34.12,13.09
5955902,Fort Nelson,100,CA,1680458384,61,58.8053,-122.7002,25.95,3.0
5880054,Barrow,100,US,1680458385,92,71.2906,-156.7887,6.26,12.03
3451138,Rio Grande,67,BR,1680458386,55,-32.035,-52.0986,80.71,7.56
1863997,Fukuechō,0,JP,1680458387,70,32.6881,128.8419,57.96,27.04
1079048,Ambovombe,50,MG,1680458388,85,-25.1667,46.0833,73.04,13.82
1150489,Tak,3,TH,1680458389,66,16.5833,98.8333,67.26,2.21
3887127,Iquique,7,CL,1680458390,73,-20.2208,-70.1431,82.44,6.13
528278,Mayna,100,RU,1680458391,81,54.1135,47.6231,42.58,7.38
4839373,New Haven,0,US,1680458392,31,41.4001,-72.9329,49.42,17.27
2334008,Kontagora,81,NG,1680458394,13,10.3999,5.4695,90.86,3.85
3372472,Vila Franca do Campo,50,PT,1680458395,63,37.7167,-25.4333,61.21,14.5
6111862,Port Hardy,75,CA,1680458396,81,50.6996,-127.4199,39.38,2.3
583673,Aksay,99,RU,1680458397,41,47.26,39.87,54.25,11.01
2629833,Husavik,66,IS,1680458398,84,66.0449,-17.3389,36.7,5.48
2092164,Lorengau,78,PG,1680458399,81,-2.0226,147.2712,79.52,3.2
3899695,Ancud,10,CL,1680458400,56,-41.8697,-73.8203,57.13,6.64
1529660,Aksu,0,CN,1680458402,15,41.1231,80.2644,52.5,7.02
2122493,Omsukchan,100,RU,1680458404,99,62.5333,155.8,-9.9,3.94
60019,Eyl,36,SO,1680458405,73,7.9803,49.8164,82.74,11.86
4726521,San Patricio,93,US,1680458407,45,28.017,-97.5169,87.17,16.73
3474574,Palmas,40,BR,1680458322,70,-10.2128,-48.3603,84.07,5.75
4470244,Havelock,0,US,1680458295,46,34.8791,-76.9013,66.97,5.75
655808,Joensuu,20,FI,1680458424,64,62.6012,29.7632,28.89,5.75
1493162,Salym,100,RU,1680458434,94,60.0625,71.4789,37.96,7.16
1078553,Ampanihy,49,MG,1680458435,87,-24.7,44.75,70.9,13.09
2112309,Katsuura,100,JP,1680458437,71,35.1333,140.3,49.35,10.33
64814,Bandarbeyla,6,SO,1680458438,74,9.4942,50.8122,82.02,9.82
3374083,Bathsheba,75,BB,1680458439,65,13.2167,-59.5167,84.81,24.16
326321,Wendo,98,ET,1680458441,90,6.6,38.4167,60.33,6.85
1490256,Talnakh,100,RU,1680458442,97,69.4865,88.3972,22.21,6.64
2371467,Mansôa,0,GW,1680458444,27,12.0733,-15.3189,91.6,14.45
3443061,Chui,52,UY,1680458445,47,-33.6971,-53.4616,71.13,4.76
3135601,Stryn,13,NO,1680458446,78,61.9045,6.7226,45.32,3.8
2070998,Geraldton,6,AU,1680458447,88,-28.7667,114.6,66.61,6.91
4741325,Wharton,100,US,1680458339,79,29.3116,-96.1027,82.89,13.8
3416888,Grindavik,100,IS,1680458449,75,63.8424,-22.4338,44.55,14.97
1056899,Sambava,100,MG,1680458451,99,-14.2667,50.1667,73.08,1.99
3667202,Tibú,98,CO,1680458452,46,8.639,-72.7358,92.25,2.51
3625710,Upata,90,VE,1680458453,36,8.0086,-62.3989,90.61,8.48
2015913,Suntar,14,RU,1680458458,91,62.1444,117.6319,9.7,7.2
3372964,Lagoa,29,PT,1680458459,57,39.05,-27.9833,56.21,26.37
1734052,Sandakan,20,MY,1680458460,94,5.8402,118.1179,76.68,3.44
3361934,Saldanha,31,ZA,1680458462,95,-33.0117,17.9442,64.45,12.24
3576994,Cockburn Town,40,TC,1680458463,54,21.4612,-71.1419,80.56,10.36
2738381,Lata,69,PT,1680458464,63,40.1629,-8.3327,56.61,5.86
538442,Kusa,7,RU,1680458466,70,55.3383,59.4406,35.58,4.03
2180815,Tuatapere,71,NZ,1680458467,89,-46.1333,167.6833,43.27,2.86
3445026,Vila Velha,20,BR,1680458468,63,-20.3297,-40.2925,81.95,17.27
2020738,Litovko,23,RU,1680458470,68,49.2361,135.1742,41.32,0.69
2235194,Ombessa,78,CM,1680458472,72,4.603,11.2565,76.8,3.13
4032369,Pangai,2,TO,1680458473,66,-19.8,-174.35,79.84,17.25
1015776,Bredasdorp,18,ZA,1680458475,90,-34.5322,20.0403,66.0,3.24
238373,Kembé,53,CF,1680458476,42,4.6228,21.8865,82.47,2.89
5044290,Saint Anthony,75,US,1680458431,49,45.0205,-93.218,46.33,17.27
3690172,Algarrobo,49,CO,1680458478,26,10.1869,-74.5753,101.89,4.12
2127202,Anadyr,0,RU,1680458479,71,64.75,177.4833,1.9,4.47
2034615,Tahe,100,CN,1680458480,94,52.3333,124.7333,30.7,3.11
587923,Väike-Maarja,14,EE,1680458482,89,59.1264,26.25,27.14,8.99
2033196,Zhangjiakou,100,CN,1680458483,80,40.81,114.8794,44.83,6.24
5164057,Napoleon,98,US,1680458484,60,41.3923,-84.1252,45.19,7.72
4021858,Guerrero Negro,0,MX,1680458381,59,27.9769,-114.0611,63.66,15.68
1255619,Srīvardhan,22,IN,1680458488,72,18.0333,73.0167,76.5,5.82
1586350,Cam Ranh,20,VN,1680458489,83,11.9214,109.1591,80.56,3.44
2344415,Duku,25,NG,1680458490,9,11.2361,4.9073,94.73,2.28
1028434,Quelimane,93,MZ,1680458492,76,-17.8786,36.8883,75.76,5.91
3904906,Santa Cruz de la Sierra,40,BO,1680458299,58,-17.8,-63.1667,89.06,3.44
1489499,Togur,100,RU,1680458495,82,58.3631,82.8265,28.96,10.63
3639898,Guatire,88,VE,1680458496,56,10.4762,-66.5427,88.2,6.17
2119283,Zyryanka,75,RU,1680458497,100,65.75,150.85,-20.06,6.76
2206874,Waipawa,88,NZ,1680458499,91,-41.4122,175.5153,53.94,10.38
1819729,Hong Kong,99,HK,1680458429,93,22.2855,114.1577,71.96,1.01
1214658,Lhokseumawe,94,ID,1680458501,82,5.1801,97.1507,79.23,8.05
1268008,Kanniyākumāri,15,IN,1680458502,78,8.0833,77.5667,81.37,11.23
3661980,Tarauacá,95,BR,1680458503,91,-8.1614,-70.7656,78.96,3.78
3893726,Constitución,98,CL,1680458505,61,-35.3333,-72.4167,67.5,15.84
3385899,Tutóia,77,BR,1680458345,70,-2.7619,-42.2744,82.56,6.62
2063030,Port Pirie,57,AU,1680458507,47,-33.1833,138.0167,58.51,6.64
364933,Umm Kaddadah,76,SD,1680458508,11,13.6017,26.6876,77.67,12.93
2093691,Kokoda,95,PG,1680458509,91,-8.8785,147.7407,75.02,0.27
5962442,Goderich,9,CA,1680458492,48,43.7501,-81.7165,37.9,12.66
3420846,Qaqortoq,100,GL,1680458512,63,60.7167,-46.0333,32.83,5.7
1259385,Port Blair,40,IN,1680458513,83,11.6667,92.75,78.84,0.0
2206854,Gisborne,8,NZ,1680458514,89,-38.6533,178.0042,59.31,3.65
1174451,Keti Bandar,3,PK,1680458515,75,24.1447,67.4497,77.25,15.88
6089245,Norman Wells,75,CA,1680458516,78,65.282,-126.8329,5.04,5.75
6316343,Alta Floresta,75,BR,1680458517,70,-9.8756,-56.0861,87.62,3.44
